id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
103710714,Flat / apartment,calle de la Marina,La Vila Olímpica del Poblenou,Barcelona,540000.0,89,2,2,4,1992.0,True,True,False,True,True,False,True,False,False,True,True,13.199326270390594,Barcelona - La Vila Olímpica del Poblenou
101159919,Flat / apartment,calle de Sardenya,La Sagrada Família,Barcelona,365000.0,79,1,1,4,1903.0,False,False,True,True,True,False,False,False,False,True,True,12.807655372286902,Barcelona - La Sagrada Família
104149998,Flat / apartment,calle de la Indústria,La Sagrada Família,Barcelona,448000.0,82,3,2,2,1949.0,True,True,False,False,True,False,False,False,False,False,True,13.012550743537489,Barcelona - La Sagrada Família
104157608,Duplex,La Sagrada Família,Eixample,Barcelona,825000.0,164,4,2,1,2008.0,True,True,True,True,True,False,False,False,False,True,True,13.623139877437296,Barcelona - Eixample
104373797,Flat / apartment,calle de la Indústria,La Sagrada Família,Barcelona,448000.0,82,3,2,2,1949.0,False,False,False,False,True,False,False,False,False,False,True,13.012550743537489,Barcelona - La Sagrada Família
104139210,Flat / apartment,calle del Consell de Cent,La Sagrada Família,Barcelona,303000.0,79,3,1,3,1965.0,False,True,False,True,True,True,False,False,False,False,True,12.621491384816093,Barcelona - La Sagrada Família
104373423,Flat / apartment,La Sagrada Família,Eixample,Barcelona,275000.0,56,2,1,5,1925.0,False,True,False,False,True,False,False,False,False,False,True,12.524530013005734,Barcelona - Eixample
103741296,Flat / apartment,La Sagrada Família,Eixample,Barcelona,695000.0,164,4,3,2,1975.0,True,True,False,True,True,False,True,False,False,False,True,13.451668563394815,Barcelona - Eixample
104277458,Flat / apartment,calle de la Indústria,La Sagrada Família,Barcelona,448000.0,82,3,2,2,1949.0,True,True,False,False,True,False,False,False,False,False,True,13.012550743537489,Barcelona - La Sagrada Família
104330017,Flat / apartment,La Sagrada Família,Eixample,Barcelona,448000.0,78,3,1,2,1949.0,True,True,False,True,True,False,False,False,False,False,False,13.012550743537489,Barcelona - Eixample
103510732,Flat / apartment,calle de Fastenrath,El Carmel,Barcelona,490000.0,126,2,1,5,2010.0,True,True,True,True,True,False,True,False,False,True,True,13.102162710901053,Barcelona - El Carmel
104384873,Flat / apartment,calle de la Manxa,El Carmel,Barcelona,89000.0,115,5,1,0,1970.0,False,False,True,False,True,True,False,False,False,False,False,11.39640288460621,Barcelona - El Carmel
102417679,Flat / apartment,"calle Ramon Rocafull, 26",El Carmel,Barcelona,255950.0,56,2,1,1,1970.0,True,True,True,False,False,False,False,False,False,True,True,12.452741298891185,Barcelona - El Carmel
96813974,Flat / apartment,"calle Lluís Marià Vidal , 92",El Carmel,Barcelona,345000.0,83,3,2,2,1970.0,True,True,False,False,False,False,False,False,False,False,True,12.75130259456002,Barcelona - El Carmel
104362926,Flat / apartment,El Carmel,Horta Guinardó,Barcelona,358430.0,118,3,1,0,1970.0,True,True,True,True,True,False,False,False,False,True,False,12.789491451878103,Barcelona - Horta Guinardó
104241342,Flat / apartment,calle de Batet,El Carmel,Barcelona,164000.0,64,3,1,1,1981.0,True,False,False,False,True,False,False,False,False,False,True,12.00762780434872,Barcelona - El Carmel
103242081,Flat / apartment,El Carmel,Horta Guinardó,Barcelona,490000.0,80,2,1,5,2011.0,True,True,True,True,True,False,True,False,False,True,True,13.102162710901053,Barcelona - Horta Guinardó
102545883,Flat / apartment,calle de Calderón de la Barca,El Carmel,Barcelona,108000.0,48,2,1,0,1967.0,True,False,False,False,True,False,False,False,False,False,True,11.58989576532275,Barcelona - El Carmel
101743487,Flat / apartment,Sant Adriá Nord,Sant Adriá de Besós,Sant Adriá de Besós,425000.0,185,4,2,2,1945.0,True,True,False,True,True,False,False,False,False,True,True,12.959846800844963,Sant Adriá de Besós - Sant Adriá de Besós
92098844,Flat / apartment,calle Ramon Llull con Rosalía de Castro Nn,La Mina,Sant Adriá de Besós,341000.0,123,3,2,1,2008.0,True,True,True,False,False,False,True,False,False,True,True,12.739640688812674,Sant Adriá de Besós - La Mina
103858015,Flat / apartment,calle de Ramon Llull,La Mina,Sant Adriá de Besós,386000.0,93,3,2,4,2020.0,True,True,True,True,True,False,True,False,False,True,True,12.863595239117187,Sant Adriá de Besós - La Mina
103983450,Flat / apartment,Sant Adriá Nord,Sant Adriá de Besós,Sant Adriá de Besós,319000.0,104,3,2,1,1929.0,True,False,False,False,True,False,False,False,False,False,True,12.672949516558306,Sant Adriá de Besós - Sant Adriá de Besós
104275535,Studio flat,Sant Adriá Nord,Sant Adriá de Besós,Sant Adriá de Besós,107000.0,50,0,1,0,1986.0,False,False,False,False,True,False,False,False,False,False,False,11.580593459194764,Sant Adriá de Besós - Sant Adriá de Besós
103950115,Flat / apartment,calle de Roger de Llúria,La Dreta de l'Eixample,Barcelona,1470000.0,219,5,3,6,1900.0,True,True,False,False,True,False,False,False,False,True,True,14.200773639026796,Barcelona - La Dreta de l'Eixample
104122854,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,1150000.0,116,3,2,0,1879.0,True,True,False,False,True,False,False,False,False,True,True,13.955273369904273,Barcelona - Eixample
102684456,Flat / apartment,Gran Via de les Corts Catalanes,La Dreta de l'Eixample,Barcelona,2100000.0,399,5,4,1,1939.0,True,True,True,False,True,False,False,False,False,True,True,14.557448378884015,Barcelona - La Dreta de l'Eixample
104300996,Flat / apartment,"calle de Pau Claris, 139",La Dreta de l'Eixample,Barcelona,858000.0,86,2,2,3,1960.0,False,True,True,True,True,False,False,False,False,True,True,13.662360543970586,Barcelona - La Dreta de l'Eixample
98895098,Flat / apartment,"calle d'Ausiàs Marc, 51",La Dreta de l'Eixample,Barcelona,895000.0,75,2,1,2,2006.0,False,True,False,False,True,False,False,False,False,False,True,13.704580114574805,Barcelona - La Dreta de l'Eixample
103804355,Flat / apartment,calle de Mallorca,La Dreta de l'Eixample,Barcelona,1780000.0,195,4,2,0,1910.0,True,True,True,True,True,False,False,False,False,True,True,14.392124484065864,Barcelona - La Dreta de l'Eixample
104387072,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,590000.0,135,4,2,3,1933.0,True,True,False,True,True,True,False,False,False,False,True,13.28787951079572,Barcelona - Eixample
